"disorder1	disorder2	ngenes1	ngenes2	class1	class2	ngenescommon"
"Breast cancer, susceptibility to	Osteosarcoma, somatic	5	5	Cancer	Cancer	5"
"Breast cancer, susceptibility to	Prostate cancer, familial	5	5	Cancer	Cancer	5"
"Breast cancer, susceptibility to	Melanoma, cutaneous malignant, susceptibility to	1	1	Cancer	Cancer	1"
"Breast-ovarian cancer	Ovarian cancer	2	2	Cancer	Cancer	2"
"Breast-ovarian cancer	Papillary serous carcinoma of the peritoneum	2	2	Cancer	Cancer	2"
"Brugada syndrome	Heart block, nonprogressive	5	5	Cardiovascular	Cardiovascular	5"
"Brugada syndrome	Heart block, progressive, type I	5	5	Cardiovascular	Cardiovascular	5"
"Brugada syndrome	Long QT syndrome-3	5	5	Cardiovascular	Cardiovascular	5"
"Brugada syndrome	Monilethrix	5	2	Cardiovascular	Dermatological	1"
"Brugada syndrome	Sick sinus syndrome	5	5	Cardiovascular	Cardiovascular	5"
"Brugada syndrome	Ventricular fibrillation, idiopathic	5	5	Cardiovascular	Cardiovascular	5"
"Buschke-Ollendorff syndrome	Melorheostosis with osteopoikilosis	2	2	multiple	Developmental	2"
"Buschke-Ollendorff syndrome	Osteopoikilosis	2	2	multiple	Bone	2"
"Butterfly dystrophy, retinal	Foveomacular dystrophy, adult-onset, with choroidal neovascularization	6	6	Ophthamological	Ophthamological	6"
"Butterfly dystrophy, retinal	Macular dystrophy	6	6	Ophthamological	Ophthamological	6"
"Butterfly dystrophy, retinal	Macular dystrophy, vitelliform	6	6	Ophthamological	Ophthamological	6"
"Butterfly dystrophy, retinal	Retinitis pigmentosa-7	6	6	Ophthamological	Ophthamological	6"
"Butterfly dystrophy, retinal	Retinitis pigmentosa, digenic	6	6	Ophthamological	Ophthamological	6"
"Butterfly dystrophy, retinal	Retinitis punctata albescens	6	6	Ophthamological	Ophthamological	6"
"C3b inactivator deficiency	Intrinsic factor deficiency	1	2	Immunological	Hematological	1"
"C6 deficiency	Combined C6/C7 deficiency	1	1	Immunological	Immunological	1"
"C9 deficiency	C9 deficiency with dermatomyositis	1	1	Immunological	Immunological	1"
"Cafe-au-lait spots, multiple, with leukemia	Colorectal cancer, hereditary nonpolyposis, type 1	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots, multiple, with leukemia	Glioblastoma, early-onset	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots, multiple, with leukemia	Lymphoma, T-cell	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots, multiple, with leukemia	Lynch cancer family syndrome II	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots, multiple, with leukemia	Muir-Torre syndrome	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots, multiple, with leukemia	Neurofibromatosis, type I, with leukemia	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots, multiple, with leukemia	Ovarian cancer	4	4	Cancer	Cancer	4"
"Cafe-au-lait spots with glioma or leukemia	Colorectal cancer, hereditary nonpolyposis, type 2	3	3	Cancer	Cancer	3"
"Cafe-au-lait spots with glioma or leukemia	Muir-Torre syndrome	3	3	Cancer	Cancer	3"
"Cafe-au-lait spots with glioma or leukemia	Turcot syndrome with glioblastoma	3	3	Cancer	Cancer	3"
"Caffey disease	Dissection of cervical arteries	1	1	Connective tissue	Connective tissue	1"
"Caffey disease	Ehlers-Danlos syndrome, type I	1	1	Connective tissue	Connective tissue	1"
"Caffey disease	Ehlers-Danlos syndrome, type VII	1	1	Connective tissue	Connective tissue	1"
"Caffey disease	Osteogenesis imperfecta, type I	1	1	Connective tissue	Bone	1"
"Caffey disease	Osteogenesis imperfecta, type II	1	1	Connective tissue	Bone	1"
"Caffey disease	Osteogenesis imperfecta, type III	1	1	Connective tissue	Bone	1"
"Caffey disease	Osteogenesis imperfecta, type IV	1	1	Connective tissue	Bone	1"
"Caffey disease	Osteoporosis	1	1	Connective tissue	Bone	1"
"Calcinosis, tumoral	Diabetes insipidus, nephrogenic	4	4	Bone	Endocrine	1"
"Calcinosis, tumoral	Hypophosphatemic rickets, autosomal dominant	4	4	Bone	Bone	4"
"Calcinosis, tumoral	Nephrogenic syndrome of inappropriate antidiuresis	4	4	Bone	Renal	1"
"Campomelic dysplasia	Campomelic dysplasia with autosomal sex reversal	3	3	Skeletal	Skeletal	3"
"Cancer susceptibility	Colorectal cancer, hereditary nonpolyposis, type 5	3	3	Cancer	Cancer	3"
"Cancer susceptibility	Endometrial carcinoma	3	3	Cancer	Cancer	3"
"Cancer susceptibility	Ovarian cancer, endometrial type	3	3	Cancer	Cancer	3"
"Capillary malformation-arteriovenous malformation	Parkes Weber syndrome	4	4	Cardiovascular	multiple	4"
"Carcinoid tumor of lung	Hyperparathyroidism, AD	1	1	Cancer	Endocrine	1"
"Carcinoid tumor of lung	Lipoma, sporadic	1	1	Cancer	Cancer	1"
"Carcinoid tumor of lung	Multiple endocrine neoplasia I	1	1	Cancer	Cancer	1"
"Carcinoid tumor of lung	Parathyroid adenoma, sporadic	1	1	Cancer	Cancer	1"
"Carcinoid tumor of lung	Prolactinoma, hyperparathyroidism, carcinoid syndrome	1	1	Cancer	Endocrine	1"
"Carcinoid tumors, intestinal	Merkel cell carcinoma, somatic	2	2	Cancer	Cancer	2"
"Carcinoid tumors, intestinal	Paragangliomas, familial central nervous system	2	2	Cancer	Cancer	2"
"Carcinoid tumors, intestinal	Paragangliomas, familial nonchromaffin, 1, with and without deafness	2	2	Cancer	Cancer	2"
"Carcinoid tumors, intestinal	Paraganglioma, sporadic corotid body	2	2	Cancer	Cancer	2"
"Carcinoid tumors, intestinal	Pheochromocytoma	2	2	Cancer	Cancer	2"
"Cardiomyopathy, dilated	Cardiomyopathy, familial hypertrophic	1	1	Cardiovascular	Cardiovascular	1"
"Cardiomyopathy, dilated	Cardiomyopathy, familial hypertrophic, 1	3	3	Cardiovascular	Cardiovascular	3"
"Cardiomyopathy, dilated	Central core disease, one form ()	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, dilated	Myopathy, Laing distal	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, dilated	Myopathy, myosin storage	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, dilated, 1A	Emery-Dreifuss muscular dystrophy, AD	7	7	Cardiovascular	Muscular	7"
"Cardiomyopathy, dilated, 1A	Emery-Dreifuss muscular dystrophy, AR	7	7	Cardiovascular	Muscular	7"
"Cardiomyopathy, dilated, 1A	Lipodystrophy, familial partial	7	7	Cardiovascular	Metabolic	7"
"Cardiomyopathy, dilated, 1D	Cardiomyopathy, familial hypertrophic, 2	3	3	Cardiovascular	Cardiovascular	3"
"Cardiomyopathy, dilated, 1G	Cardiomyopathy, familial hypertrophic, 9	2	4	Cardiovascular	Cardiovascular	2"
"Cardiomyopathy, dilated, 1G	Muscular dystrophy, limb-girdle, type 2J	2	4	Cardiovascular	Muscular	2"
"Cardiomyopathy, dilated, 1I	Myopathy, desmin-related, cardioskeletal	2	2	Cardiovascular	Muscular	2"
"Cardiomyopathy, dilated, 1J	Deafness, autosomal dominant 10	3	3	Cardiovascular	Ear,Nose,Throat	3"
"Cardiomyopathy, dilated, 1L	Muscular dystrophy, limb-girdle, type 2F	4	4	Cardiovascular	Muscular	4"
"Cardiomyopathy, dilated, 1N	Muscular dystrophy, limb-girdle, type 2G	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, dilated, X-linked	Duchenne muscular dystrophy	2	2	Cardiovascular	Muscular	2"
"Cardiomyopathy, familial hypertrophic, 10	Cardiomyopathy, hypertrophic, mid-left ventricular chamber type	2	2	Cardiovascular	Cardiovascular	2"
"Cardiomyopathy, familial hypertrophic, 1	Central core disease, one form ()	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, familial hypertrophic, 1	Myopathy, Laing distal	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, familial hypertrophic, 1	Myopathy, myosin storage	3	3	Cardiovascular	Muscular	3"
"Cardiomyopathy, familial hypertrophic	Creatine phosphokinase, elevated serum	2	2	Cardiovascular	Metabolic	2"
"Cardiomyopathy, familial hypertrophic	Creatine phosphokinase, elevated serum	2	2	Cardiovascular	Metabolic	2"
"Cardiomyopathy, familial hypertrophic	Muscular dystrophy, limb-girdle, type IC	2	2	Cardiovascular	Muscular	2"
"Cardiomyopathy, familial hypertrophic	Myopathy, distal, with decreased caveolin 3	2	2	Cardiovascular	Muscular	2"
"Cardiomyopathy, familial hypertrophic	Rippling muscle disease	2	2	Cardiovascular	Muscular	2"
"Cardiomyopathy, familial hypertrophic	Cardiomyopathy, familial restrictive	1	1	Cardiovascular	Cardiovascular	1"
"Cardiomyopathy, familial hypertrophic, 9	Muscular dystrophy, limb-girdle, type 2J	4	4	Cardiovascular	Muscular	4"
"Cardiomyopathy, hypertrophic, early-onset fatal	Leigh syndrome due to cytochrome c oxidase deficiency	1	1	Cardiovascular	Neurological	1"
"Cardiomyopathy, hypertrophic, with WPW	Wolff-Parkinson-White syndrome	2	2	Cardiovascular	Cardiovascular	2"
"Cardiomyopathy, X-linked dilated	Noncompaction of left ventricular myocardium, isolated	5	5	Cardiovascular	Cardiovascular	5"
"Carney complex, type 1	Myxoma, intracardiac	4	4	multiple	Cardiovascular	4"
"Carney complex, type 1	Pigmented adrenocortical disease, primary isolated	4	4	multiple	Cancer	4"
"Carney complex, type 1	Spastic paraplegia-7	4	4	multiple	Neurological	1"
"Carney complex, type 1	Thyroid carcinoma, papillary	4	4	multiple	Cancer	4"
"Carney complex variant	Trismus-pseudocomptodactyly syndrome	1	1	multiple	multiple	1"
"Carpal tunnel syndrome, familial	Dystransthyretinemic hyperthyroxinemia	2	2	Unclassified	Hematological	2"
"Cartilage-hair hypoplasia	Metaphyseal dysplasia without hypotrichosis	3	3	Skeletal	Connective tissue	3"
"Cataract, autosomal dominant nuclear	Cataract, congenital progressive, autosomal recessive	2	2	Ophthamological	Ophthamological	2"
"Cataract, autosomal dominant nuclear	Cataract, zonular central nuclear, autosomal dominant	2	2	Ophthamological	Ophthamological	2"
"Cataract, cerulean, type 2	Cataract, sutural, with punctate and cerulean opacities	2	2	Ophthamological	Ophthamological	2"
"Cataract, congenital	Cataract, juvenile-onset	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital progressive, autosomal recessive	Cataract, zonular central nuclear, autosomal dominant	2	2	Ophthamological	Ophthamological	2"
"Cataract, congenital, with late-onset corneal dystrophy	Coloboma, ocular	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital, with late-onset corneal dystrophy	Ectopia pupillae	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital, with late-onset corneal dystrophy	Eye anomalies, multiplex	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital, with late-onset corneal dystrophy	Foveal hypoplasia, isolated	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital, with late-onset corneal dystrophy	Keratitis	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital, with late-onset corneal dystrophy	Morning glory disc anomaly	3	3	Ophthamological	Skeletal	3"
"Cataract, congenital, with late-onset corneal dystrophy	Optic nerve hypoplasia/aplasia	3	3	Ophthamological	Ophthamological	3"
"Cataract, congenital, with late-onset corneal dystrophy	Peters anomaly	3	3	Ophthamological	Developmental	3"
"Cataract, Coppock-like	Cataract, variable zonular pulverulent	3	3	Ophthamological	Ophthamological	3"
"Cataract, crystalline aculeiform	Cataracts, punctate, progressive juvenile-onset	2	2	Ophthamological	Ophthamological	2"
"Cataract, lamellar	Cataract, Marner type	2	2	Ophthamological	Ophthamological	2"
"Cataract, posterior polar 2	Myopathy, cardioskeletal, desmin-related, with cataract	3	3	Ophthamological	Muscular	3"
"Cavernous malformations of CNS and retina	Cerebral cavernous malformations-1	3	3	Cardiovascular	Neurological	3"
"Cavernous malformations of CNS and retina	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	3	3	Cardiovascular	Neurological	3"
"Central core disease	Malignant hyperthermia susceptibility 1	3	3	Muscular	Neurological	3"
"Central core disease, one form ()	Myopathy, Laing distal	3	3	Muscular	Muscular	3"
"Central core disease, one form ()	Myopathy, myosin storage	3	3	Muscular	Muscular	3"
"Central hypoventilation syndrome	Hirschsprung disease	1	1	Respiratory	Gastrointestinal	1"
"Central hypoventilation syndrome, congenital	Memory impairment, susceptibility to	1	1	Respiratory	Neurological	1"
"Central hypoventilation syndrome, congenital	Obsessive-compulsive disorder, protection against	1	1	Respiratory	Psychiatric	1"
"Central hypoventilation syndrome, congenital	Hirschsprung disease	1	1	Respiratory	Gastrointestinal	1"
"Central hypoventilation syndrome, congenital	Shah-Waardenburg syndrome	1	1	Respiratory	multiple	1"
"Central hypoventilation syndrome, congenital	Hirschsprung disease, short-segment	3	3	Respiratory	Gastrointestinal	3"
"Central hypoventilation syndrome, congenital	Neuroblastoma	3	3	Respiratory	Cancer	3"
"Central hypoventilation syndrome, congenital	Colonic aganglionosis, total, with small bowel involvement	2	2	Respiratory	Gastrointestinal	2"
"Central hypoventilation syndrome, congenital	Hirschsprung disease	2	2	Respiratory	Gastrointestinal	2"
"Central hypoventilation syndrome, congenital	Medullary thyroid carcinoma	2	2	Respiratory	Cancer	2"
"Central hypoventilation syndrome, congenital	Multiple endocrine neoplasia IIA	2	2	Respiratory	Cancer	2"
"Central hypoventilation syndrome, congenital	Multiple endocrine neoplasia IIB	2	2	Respiratory	Cancer	2"
"Cerebellar ataxia	Hemosiderosis, systemic, due to aceruloplasminemia	1	1	Neurological	Hematological	1"
"Cerebellar ataxia	Hypoceruloplasminemia, hereditary	1	1	Neurological	Metabolic	1"
"Cerebellar ataxia, pure	Episodic ataxia, type 2	3	3	Neurological	Neurological	3"
"Cerebellar ataxia, pure	Hemiplegic migraine, familial	3	3	Neurological	Neurological	3"
"Cerebellar ataxia, pure	Spinocerebellar ataxia-6	3	3	Neurological	Neurological	3"
"Cerebral amyloid angiopathy	Coronary artery disease in familial hypercholesterolemia, protection against	4	4	Neurological	Cardiovascular	4"
"Cerebral amyloid angiopathy	HDL deficiency, familial	4	4	Neurological	Metabolic	4"
"Cerebral amyloid angiopathy	Tangier disease	4	4	Neurological	Metabolic	4"
"Cerebral cavernous malformations-1	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	3	3	Neurological	Neurological	3"
"Cerebrooculofacioskeletal syndrome	Trichothiodystrophy	2	2	multiple	Dermatological	2"
"Cerebrooculofacioskeletal syndrome	Xeroderma pigmentosum, group D	2	2	multiple	Dermatological	2"
"Cerebrooculofacioskeletal syndrome	Xeroderma pigmentosum, group G	2	2	multiple	Dermatological	2"
"Cerebrooculofacioskeletal syndrome 214150	Cockayne syndrome, type B	4	4	multiple	multiple	4"
"Cerebrooculofacioskeletal syndrome 214150	De Sanctis-Cacchione syndrome	4	4	multiple	multiple	4"
"Ceroid lipofuscinosis, neuronal-1, infantile	Ceroid lipofuscinosis, neuronal, variant juvenile type, with granular osmiophilic deposits	2	2	Neurological	Neurological	2"
"Cervical cancer, somatic	Colorectal cancer, somatic	2	2	Cancer	Cancer	2"
"Cervical cancer, somatic	Crouzon syndrome with acanthosis nigricans	2	2	Cancer	Skeletal	2"
"Cervical cancer, somatic	Hypochondroplasia	2	2	Cancer	Skeletal	2"
"Cervical cancer, somatic	Muenke syndrome	2	2	Cancer	Skeletal	2"
"Cervical cancer, somatic	Thanatophoric dysplasia, types I and II	2	2	Cancer	Skeletal	2"
"CETP deficiency	Hyperalphalipoproteinemia	1	1	Metabolic	Metabolic	1"
"CETP deficiency	Longevity, exceptional	1	1	Metabolic	Developmental	1"
"Charcot-Marie-Tooth disease, axonal, type 2F	Neuropathy, distal hereditary motor	3	3	Neurological	Neurological	3"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Charcot-Marie-Tooth disease, type 1A	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Charcot-Marie-Tooth disease, type 1B	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Charcot-Marie-Tooth disease, type 1E	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Charcot-Marie-Tooth disease, type 2I	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Charcot-Marie-Tooth disease, type 2J	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Choroideremia	5	2	Neurological	Ophthamological	1"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Dejerine-Sottas disease	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Dejerine-Sottas syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Neuropathy, congenital hypomyelinating	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Neuropathy, recurrent, with pressure palsies	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Roussy-Levy syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, dominant intermediate 3	Roussy-Levy syndrome	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, foot deformity of	Vertical talus, congenital	2	2	Neurological	Skeletal	2"
"Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Charcot-Marie-Tooth disease, type 2G	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Charcot-Marie-Tooth disease, type 2K	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Charcot-Marie-Tooth disease, type 4A	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 1A	Charcot-Marie-Tooth disease, type 1B	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1A	Charcot-Marie-Tooth disease, type 1E	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 1A	Charcot-Marie-Tooth disease, type 2I	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1A	Charcot-Marie-Tooth disease, type 2J	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1A	Dejerine-Sottas disease	4	4	Neurological	multiple	4"
"Charcot-Marie-Tooth disease, type 1A	Dejerine-Sottas syndrome	4	5	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 1A	Neuropathy, congenital hypomyelinating	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1A	Neuropathy, recurrent, with pressure palsies	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 1A	Roussy-Levy syndrome	4	5	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 1A	Roussy-Levy syndrome	4	4	Neurological	multiple	4"
"Charcot-Marie-Tooth disease, type 1B	Charcot-Marie-Tooth disease, type 1E	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1B	Charcot-Marie-Tooth disease, type 2I	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, type 1B	Charcot-Marie-Tooth disease, type 2J	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, type 1B	Choroideremia	5	2	Neurological	Ophthamological	1"
"Charcot-Marie-Tooth disease, type 1B	Dejerine-Sottas disease	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 1B	Dejerine-Sottas syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, type 1B	Neuropathy, congenital hypomyelinating	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, type 1B	Neuropathy, recurrent, with pressure palsies	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1B	Roussy-Levy syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, type 1B	Roussy-Levy syndrome	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 1D	Dejerine-Sottas neuropathy	2	2	Neurological	multiple	2"
"Charcot-Marie-Tooth disease, type 1D	Neuropathy, congenital hypomyelinating, 1	2	2	Neurological	Neurological	2"
"Charcot-Marie-Tooth disease, type 1E	Charcot-Marie-Tooth disease, type 2I	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1E	Charcot-Marie-Tooth disease, type 2J	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1E	Dejerine-Sottas disease	4	4	Neurological	multiple	4"
"Charcot-Marie-Tooth disease, type 1E	Dejerine-Sottas syndrome	4	5	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 1E	Neuropathy, congenital hypomyelinating	4	5	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 1E	Neuropathy, recurrent, with pressure palsies	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 1E	Roussy-Levy syndrome	4	5	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 1E	Roussy-Levy syndrome	4	4	Neurological	multiple	4"
"Charcot-Marie-Tooth disease, type 1F	Charcot-Marie-Tooth disease, type 2E	3	3	Neurological	Neurological	3"
"Charcot-Marie-Tooth disease, type 2D	Spinal muscular atrophy, distal, type V	3	3	Neurological	Muscular	3"
"Charcot-Marie-Tooth disease, type 2G	Charcot-Marie-Tooth disease, type 2K	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 2G	Charcot-Marie-Tooth disease, type 4A	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 2I	Charcot-Marie-Tooth disease, type 2J	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, type 2I	Choroideremia	5	2	Neurological	Ophthamological	1"
"Charcot-Marie-Tooth disease, type 2I	Dejerine-Sottas disease	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 2I	Dejerine-Sottas syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, type 2I	Neuropathy, congenital hypomyelinating	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, type 2I	Neuropathy, recurrent, with pressure palsies	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 2I	Roussy-Levy syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, type 2I	Roussy-Levy syndrome	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 2J	Choroideremia	5	2	Neurological	Ophthamological	1"
"Charcot-Marie-Tooth disease, type 2J	Dejerine-Sottas disease	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 2J	Dejerine-Sottas syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, type 2J	Neuropathy, congenital hypomyelinating	5	5	Neurological	Neurological	5"
"Charcot-Marie-Tooth disease, type 2J	Neuropathy, recurrent, with pressure palsies	5	4	Neurological	Neurological	1"
"Charcot-Marie-Tooth disease, type 2J	Roussy-Levy syndrome	5	5	Neurological	multiple	5"
"Charcot-Marie-Tooth disease, type 2J	Roussy-Levy syndrome	5	4	Neurological	multiple	1"
"Charcot-Marie-Tooth disease, type 2K	Charcot-Marie-Tooth disease, type 4A	4	4	Neurological	Neurological	4"
"Charcot-Marie-Tooth disease, type 4B2	Charcot-Marie-Tooth disease, type 4B2, with early-onset glaucoma	3	3	Neurological	Neurological	3"
"Cholelithiasis	Cholestasis, familial intrahepatic, of pregnancy	3	3	Gastrointestinal	Gastrointestinal	3"
"Cholelithiasis	Cholestasis, progressive familial intrahepatic 3	3	3	Gastrointestinal	Gastrointestinal	3"
"Cholestasis, benign recurrent intrahepatic	Cholestasis, progressive familial intrahepatic 1	4	4	Gastrointestinal	Gastrointestinal	4"
"Cholestasis, familial intrahepatic, of pregnancy	Cholestasis, progressive familial intrahepatic 3	3	3	Gastrointestinal	Gastrointestinal	3"
"Cholesteryl ester storage disease	Wolman disease	1	1	Metabolic	Metabolic	1"
"Chondrocalcinosis 2	Craniometaphyseal dysplasia	6	6	Connective tissue	Bone	6"
"Chondrodysplasia, Grebe type	Fibular hypoplasia and complex brachydactyly	2	2	Skeletal	Skeletal	2"
"Chondrodysplasia punctata, X-linked dominant	Cleft palate with ankyloglossia	4	2	Connective tissue	Developmental	1"
"Chondrosarcoma	Exostoses, multiple, type 1	1	1	Cancer	Bone	1"
"Chondrosarcoma, extraskeletal myxoid	Ewing sarcoma	2	2	Cancer	Cancer	2"
"Chorea, hereditary benign	Choreoathetosis, hypothyroidism, and respiratory distress	3	3	Neurological	multiple	3"
"Choroideremia	Dejerine-Sottas syndrome	2	5	Ophthamological	multiple	1"
"Choroideremia	Neuropathy, congenital hypomyelinating	2	5	Ophthamological	Neurological	1"
"Choroideremia	Roussy-Levy syndrome	2	5	Ophthamological	multiple	1"
"Chronic infections, due to opsonin defect	Meningococcal disease, susceptibility to	3	3	Immunological	Immunological	3"
"Chudley-Lowry syndrome	Juberg-Marsidi syndrome	5	5	multiple	multiple	5"
"Chudley-Lowry syndrome	Renpenning syndrome	5	7	multiple	Neurological	2"
"Chudley-Lowry syndrome	Smith-Fineman-Myers syndrome	5	5	multiple	multiple	5"
"Chudley-Lowry syndrome	Sutherland-Haan syndrome-like	5	5	multiple	multiple	5"
"Chylomicronemia syndrome, familial	Combined hyperlipemia, familial	2	2	Metabolic	Metabolic	2"
"Chylomicronemia syndrome, familial	Lipoprotein lipase deficiency	2	2	Metabolic	Metabolic	2"
"Chylomicron retention disease	Chylomicron retention disease with Marinesco-Sjogren syndrome	3	3	Gastrointestinal	Gastrointestinal	3"
"Ciliary dyskinesia, primary, 1	Ciliary dyskinesia, primary, 3 608644	4	4	Respiratory	Respiratory	1"
"Ciliary dyskinesia, primary, 1	Kartagener syndrome	4	4	Respiratory	multiple	1"
"Ciliary dyskinesia, primary, 1	Kartagener syndrome	4	4	Respiratory	multiple	4"
"Ciliary dyskinesia, primary, 3 608644	Kartagener syndrome	4	4	Respiratory	multiple	4"
"Ciliary dyskinesia, primary, 3 608644	Kartagener syndrome	4	4	Respiratory	multiple	1"
"CINCA syndrome	Cold-induced autoinflammatory syndrome, familial	4	4	multiple	Immunological	4"
"CINCA syndrome	Muckle-Wells syndrome	4	4	multiple	multiple	4"
"Cirrhosis, cryptogenic	Cirrhosis, noncryptogenic, susceptibility to	1	1	Gastrointestinal	Gastrointestinal	1"
"Cirrhosis, cryptogenic	Cirrhosis, noncryptogenic, susceptibility to	1	1	Gastrointestinal	Gastrointestinal	1"
"Citrullinemia, adult-onset type II	Citrullinemia, type II, neonatal-onset	2	2	Metabolic	Metabolic	2"
"Cleft lip/palate ectodermal dysplasia syndrome	Ectodermal dysplasia, Margarita Island type	4	4	Developmental	Dermatological	4"
"Cleft lip/palate ectodermal dysplasia syndrome	Zlotogora-Ogur syndrome	4	4	Developmental	multiple	4"
"Cleft lip/palate, nonsyndromic	Hypodontia, autosomal dominant	4	4	Developmental	Skeletal	4"
"Cleft lip/palate, nonsyndromic	Hypodontia with orofacial cleft	4	4	Developmental	Skeletal	4"
"Cleft lip/palate, nonsyndromic	Witkop syndrome	4	4	Developmental	Developmental	4"
"Cleidocranial dysplasia	Dental anomalies, isolated	4	4	Skeletal	Skeletal	4"
"Coats disease	Exudative vitreoretinopathy, X-linked	2	2	Ophthamological	Ophthamological	2"
"Coats disease	Norrie disease	2	2	Ophthamological	Neurological	2"
"Cockayne syndrome, type B	De Sanctis-Cacchione syndrome	4	4	multiple	multiple	4"
"Codeine sensitivity	Debrisoquine sensitivity	3	3	Metabolic	Metabolic	3"
"Coffin-Lowry syndrome	Mental retardation, X-linked nonspecific, type 19	3	3	multiple	Neurological	3"
"Cold-induced autoinflammatory syndrome, familial	Muckle-Wells syndrome	4	4	Immunological	multiple	4"
"Coloboma, ocular	Ectopia pupillae	3	3	Ophthamological	Ophthamological	3"
