disorder	class	gene
Central hypoventilation syndrome, congenital	Respiratory	RET
Central hypoventilation syndrome, congenital	Respiratory	MEN2A
Cerebellar ataxia	Neurological	CP
Cerebellar ataxia, pure	Neurological	CACNA1A
Cerebellar ataxia, pure	Neurological	CACNL1A4
Cerebellar ataxia, pure	Neurological	SCA6
Cerebellar hypoplasia, VLDLR-associated	Neurological	VLDLR
Cerebellar hypoplasia, VLDLR-associated	Neurological	VLDLRCH
Cerebral amyloid angiopathy	Neurological	ABCA1
Cerebral amyloid angiopathy	Neurological	ABC1
Cerebral amyloid angiopathy	Neurological	HDLDT1
Cerebral amyloid angiopathy	Neurological	TGD
Cerebral amyloid angiopathy	Neurological	CST3
Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	Cardiovascular	NOTCH3
Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	Cardiovascular	CADASIL
Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	Cardiovascular	CASIL
Cerebral cavernous malformations-1	Neurological	CCM1
Cerebral cavernous malformations-1	Neurological	CAM
Cerebral cavernous malformations-1	Neurological	KRIT1
Cerebral cavernous malformations-2	Neurological	C7orf22
Cerebral cavernous malformations-2	Neurological	CCM2
Cerebral cavernous malformations-2	Neurological	MGC4067
Cerebral cavernous malformations 3	Neurological	PDCD10
Cerebral cavernous malformations 3	Neurological	TFAR15
Cerebral cavernous malformations 3	Neurological	CCM3
Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	Neurological	SNAP29
Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	Neurological	CEDNIK
Cerebrooculofacioskeletal syndrome	multiple	ERCC2
Cerebrooculofacioskeletal syndrome	multiple	EM9
Cerebrooculofacioskeletal syndrome	multiple	ERCC5
Cerebrooculofacioskeletal syndrome	multiple	XPG
Cerebrooculofacioskeletal syndrome 214150	multiple	ERCC6
Cerebrooculofacioskeletal syndrome 214150	multiple	CKN2
Cerebrooculofacioskeletal syndrome 214150	multiple	COFS
Cerebrooculofacioskeletal syndrome 214150	multiple	CSB
Cerebrotendinous xanthomatosis	Metabolic	CYP27A1
Cerebrotendinous xanthomatosis	Metabolic	CYP27
Cerebrotendinous xanthomatosis	Metabolic	CTX
Cerebrovascular disease, occlusive	Unclassified	SERPINA3
Cerebrovascular disease, occlusive	Unclassified	AACT
Cerebrovascular disease, occlusive	Unclassified	ACT
Ceroid lipofuscinosis, neuronal-1, infantile	Neurological	PPT1
Ceroid lipofuscinosis, neuronal-1, infantile	Neurological	CLN1
Ceroid-lipofuscinosis, neuronal 2, classic late infantile	Neurological	CLN2
Ceroid-lipofuscinosis, neuronal-3, juvenile	Neurological	CLN3
Ceroid-lipofuscinosis, neuronal-3, juvenile	Neurological	BTS
Ceroid-lipofuscinosis, neuronal-5, variant late infantile	Neurological	CLN5
Ceroid-lipofuscinosis, neuronal-6, variant late infantile	Neurological	CLN6
Ceroid lipofuscinosis, neuronal 8	Neurological	CLN8
Ceroid lipofuscinosis, neuronal 8	Neurological	EPMR
Ceroid lipofuscinosis, neuronal, variant juvenile type, with granular osmiophilic deposits	Neurological	PPT1
Ceroid lipofuscinosis, neuronal, variant juvenile type, with granular osmiophilic deposits	Neurological	CLN1
Cervical cancer, somatic	Cancer	FGFR3
Cervical cancer, somatic	Cancer	ACH
CETP deficiency	Metabolic	CETP
Chanarin-Dorfman syndrome	Metabolic	ABHD5
Chanarin-Dorfman syndrome	Metabolic	CGI58
Chanarin-Dorfman syndrome	Metabolic	IECN2
Chanarin-Dorfman syndrome	Metabolic	NCIE2
Charcot-Marie-Tooth disease, axonal, type 2F	Neurological	HSPB1
Charcot-Marie-Tooth disease, axonal, type 2F	Neurological	HSP27
Charcot-Marie-Tooth disease, axonal, type 2F	Neurological	CMT2F
Charcot-Marie-Tooth disease, dominant intermediate 3	Neurological	MPZ
Charcot-Marie-Tooth disease, dominant intermediate 3	Neurological	CMT1B
Charcot-Marie-Tooth disease, dominant intermediate 3	Neurological	CMTDI3
Charcot-Marie-Tooth disease, dominant intermediate 3	Neurological	CHM
Charcot-Marie-Tooth disease, dominant intermediate 3	Neurological	DSS
Charcot-Marie-Tooth disease, dominant intermediate B	Neurological	DNM2
Charcot-Marie-Tooth disease, foot deformity of	Neurological	HOXD10
Charcot-Marie-Tooth disease, foot deformity of	Neurological	HOX4D
Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Neurological	GDAP1
Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Neurological	CMT4A
Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Neurological	CMT2K
Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Neurological	CMT2G
Charcot-Marie-Tooth disease, type 1A	Neurological	PMP22
Charcot-Marie-Tooth disease, type 1A	Neurological	CMT1A
Charcot-Marie-Tooth disease, type 1A	Neurological	CMT1E
Charcot-Marie-Tooth disease, type 1A	Neurological	DSS
Charcot-Marie-Tooth disease, type 1B	Neurological	MPZ
Charcot-Marie-Tooth disease, type 1B	Neurological	CMT1B
Charcot-Marie-Tooth disease, type 1B	Neurological	CMTDI3
Charcot-Marie-Tooth disease, type 1B	Neurological	CHM
Charcot-Marie-Tooth disease, type 1B	Neurological	DSS
Charcot-Marie-Tooth disease, type 1C	Neurological	LITAF
Charcot-Marie-Tooth disease, type 1C	Neurological	CMT1C
Charcot-Marie-Tooth disease, type 1D	Neurological	EGR2
Charcot-Marie-Tooth disease, type 1D	Neurological	KROX20
Charcot-Marie-Tooth disease, type 1E	Neurological	PMP22
Charcot-Marie-Tooth disease, type 1E	Neurological	CMT1A
Charcot-Marie-Tooth disease, type 1E	Neurological	CMT1E
Charcot-Marie-Tooth disease, type 1E	Neurological	DSS
Charcot-Marie-Tooth disease, type 1F	Neurological	NEFL
Charcot-Marie-Tooth disease, type 1F	Neurological	CMT2E
Charcot-Marie-Tooth disease, type 1F	Neurological	CMT1F
Charcot-Marie-Tooth disease, type 2A1	Neurological	KIF1B
Charcot-Marie-Tooth disease, type 2A1	Neurological	CMT2A
Charcot-Marie-Tooth disease, type 2A1	Neurological	CMT2A1
Charcot-Marie-Tooth disease, type 2A2	Neurological	MFN2
Charcot-Marie-Tooth disease, type 2A2	Neurological	KIAA0214
Charcot-Marie-Tooth disease, type 2A2	Neurological	CMT2A2
Charcot-Marie-Tooth disease, type 2B	Neurological	RAB7
Charcot-Marie-Tooth disease, type 2B	Neurological	CMT2B
Charcot-Marie-Tooth disease, type 2B	Neurological	PSN
Charcot-Marie-Tooth disease, type 2D	Neurological	GARS
Charcot-Marie-Tooth disease, type 2D	Neurological	SMAD1
Charcot-Marie-Tooth disease, type 2D	Neurological	CMT2D
Charcot-Marie-Tooth disease, type 2E	Neurological	NEFL
Charcot-Marie-Tooth disease, type 2E	Neurological	CMT2E
Charcot-Marie-Tooth disease, type 2E	Neurological	CMT1F
Charcot-Marie-Tooth disease, type 2G	Neurological	GDAP1
Charcot-Marie-Tooth disease, type 2G	Neurological	CMT4A
Charcot-Marie-Tooth disease, type 2G	Neurological	CMT2K
Charcot-Marie-Tooth disease, type 2G	Neurological	CMT2G
Charcot-Marie-Tooth disease, type 2I	Neurological	MPZ
Charcot-Marie-Tooth disease, type 2I	Neurological	CMT1B
Charcot-Marie-Tooth disease, type 2I	Neurological	CMTDI3
Charcot-Marie-Tooth disease, type 2I	Neurological	CHM
Charcot-Marie-Tooth disease, type 2I	Neurological	DSS
Charcot-Marie-Tooth disease, type 2J	Neurological	MPZ
Charcot-Marie-Tooth disease, type 2J	Neurological	CMT1B
Charcot-Marie-Tooth disease, type 2J	Neurological	CMTDI3
Charcot-Marie-Tooth disease, type 2J	Neurological	CHM
Charcot-Marie-Tooth disease, type 2J	Neurological	DSS
Charcot-Marie-Tooth disease, type 2K	Neurological	GDAP1
Charcot-Marie-Tooth disease, type 2K	Neurological	CMT4A
Charcot-Marie-Tooth disease, type 2K	Neurological	CMT2K
Charcot-Marie-Tooth disease, type 2K	Neurological	CMT2G
Charcot-Marie-Tooth disease, type 4A	Neurological	GDAP1
Charcot-Marie-Tooth disease, type 4A	Neurological	CMT4A
Charcot-Marie-Tooth disease, type 4A	Neurological	CMT2K
Charcot-Marie-Tooth disease, type 4A	Neurological	CMT2G
Charcot-Marie-Tooth disease, type 4B1	Neurological	MTMR2
Charcot-Marie-Tooth disease, type 4B1	Neurological	CMT4B1
Charcot-Marie-Tooth disease, type 4B2	Neurological	SBF2
Charcot-Marie-Tooth disease, type 4B2	Neurological	MTMR13
Charcot-Marie-Tooth disease, type 4B2	Neurological	CMT4B2
Charcot-Marie-Tooth disease, type 4B2, with early-onset glaucoma	Neurological	SBF2
Charcot-Marie-Tooth disease, type 4B2, with early-onset glaucoma	Neurological	MTMR13
Charcot-Marie-Tooth disease, type 4B2, with early-onset glaucoma	Neurological	CMT4B2
Charcot-Marie-Tooth disease, type 4C	Neurological	KIAA1985
Charcot-Marie-Tooth disease, type 4D	Neurological	NDRG1
Charcot-Marie-Tooth disease, type 4D	Neurological	HMSNL
Charcot-Marie-Tooth disease, type 4D	Neurological	CMT4D
Charcot-Marie-Tooth neuropathy, X-linked dominant, 1	Neurological	GJB1
Charcot-Marie-Tooth neuropathy, X-linked dominant, 1	Neurological	CX32
Charcot-Marie-Tooth neuropathy, X-linked dominant, 1	Neurological	CMTX1
CHARGE syndrome	multiple	CHD7
Char syndrome	multiple	TFAP2B
Char syndrome	multiple	CHAR
Chediak-Higashi syndrome	multiple	CHS1
Chediak-Higashi syndrome	multiple	LYST
Cherubism	Unclassified	SH3BP2
Cherubism	Unclassified	CRPM
CHILD syndrome	Developmental	NSDHL
Chitotriosidase deficiency	Metabolic	CHIT
Chloride diarrhea, congenital, Finnish type	Gastrointestinal	SLC26A3
Chloride diarrhea, congenital, Finnish type	Gastrointestinal	DRA
Chloride diarrhea, congenital, Finnish type	Gastrointestinal	CLD
Cholelithiasis	Gastrointestinal	ABCB4
Cholelithiasis	Gastrointestinal	PGY3
Cholelithiasis	Gastrointestinal	MDR3
Cholestasis, benign recurrent intrahepatic	Gastrointestinal	ATP8B1
Cholestasis, benign recurrent intrahepatic	Gastrointestinal	FIC1
Cholestasis, benign recurrent intrahepatic	Gastrointestinal	BRIC
Cholestasis, benign recurrent intrahepatic	Gastrointestinal	PFIC1
Cholestasis, familial intrahepatic, of pregnancy	Gastrointestinal	ABCB4
Cholestasis, familial intrahepatic, of pregnancy	Gastrointestinal	PGY3
Cholestasis, familial intrahepatic, of pregnancy	Gastrointestinal	MDR3
Cholestasis, progressive familial intrahepatic 1	Gastrointestinal	ATP8B1
Cholestasis, progressive familial intrahepatic 1	Gastrointestinal	FIC1
Cholestasis, progressive familial intrahepatic 1	Gastrointestinal	BRIC
Cholestasis, progressive familial intrahepatic 1	Gastrointestinal	PFIC1
Cholestasis, progressive familial intrahepatic 2	Gastrointestinal	ABCB11
Cholestasis, progressive familial intrahepatic 2	Gastrointestinal	BSEP
Cholestasis, progressive familial intrahepatic 2	Gastrointestinal	SPGP
Cholestasis, progressive familial intrahepatic 2	Gastrointestinal	PFIC2
Cholestasis, progressive familial intrahepatic 3	Gastrointestinal	ABCB4
Cholestasis, progressive familial intrahepatic 3	Gastrointestinal	PGY3
Cholestasis, progressive familial intrahepatic 3	Gastrointestinal	MDR3
Cholestasis, progressive familial intrahepatic 4	Gastrointestinal	HSD3B7
Cholestasis, progressive familial intrahepatic 4	Gastrointestinal	PFIC4
Cholesteryl ester storage disease	Metabolic	LIPA
Chondrocalcinosis 2	Connective tissue	ANKH
Chondrocalcinosis 2	Connective tissue	HANK
Chondrocalcinosis 2	Connective tissue	ANK
Chondrocalcinosis 2	Connective tissue	CMDJ
Chondrocalcinosis 2	Connective tissue	CCAL2
Chondrocalcinosis 2	Connective tissue	CPPDD
Chondrodysplasia, Grebe type	Skeletal	GDF5
Chondrodysplasia, Grebe type	Skeletal	CDMP1
Chondrodysplasia punctata, rhizomelic, type 2	Connective tissue	GNPAT
Chondrodysplasia punctata, rhizomelic, type 2	Connective tissue	DHAPAT
Chondrodysplasia punctata, X-linked dominant	Connective tissue	EBP
Chondrodysplasia punctata, X-linked dominant	Connective tissue	CDPX2
Chondrodysplasia punctata, X-linked dominant	Connective tissue	CPXD
Chondrodysplasia punctata, X-linked dominant	Connective tissue	CPX
Chondrodysplasia punctata, X-linked recessive	Connective tissue	ARSE
Chondrodysplasia punctata, X-linked recessive	Connective tissue	CDPX1
Chondrodysplasia punctata, X-linked recessive	Connective tissue	CDPXR
Chondrosarcoma	Cancer	EXT1
Chondrosarcoma, extraskeletal myxoid	Cancer	CSMF
Chondrosarcoma, extraskeletal myxoid	Cancer	EWSR1
Chondrosarcoma, extraskeletal myxoid	Cancer	EWS
Chorea, hereditary benign	Neurological	TITF1
Chorea, hereditary benign	Neurological	NKX2A
Chorea, hereditary benign	Neurological	TTF1
Choreoacanthocytosis	Neurological	VPS13A
Choreoacanthocytosis	Neurological	CHAC
Choreoathetosis, hypothyroidism, and respiratory distress	multiple	TITF1
Choreoathetosis, hypothyroidism, and respiratory distress	multiple	NKX2A
Choreoathetosis, hypothyroidism, and respiratory distress	multiple	TTF1
Choroideremia	Ophthamological	CHM
Choroideremia	Ophthamological	TCD
Chromosome 22q13.3 deletion syndrome	multiple	PSAP2
Chromosome 22q13.3 deletion syndrome	multiple	PROSAP2
Chromosome 22q13.3 deletion syndrome	multiple	KIAA1650
Chronic granulomatous disease, autosomal, due to deficiency of CYBA	Immunological	CYBA
Chronic granulomatous disease due to deficiency of NCF-1	Immunological	NCF1
Chronic granulomatous disease due to deficiency of NCF-2	Immunological	NCF2
Chronic granulomatous disease, X-linked	Immunological	CYBB
Chronic granulomatous disease, X-linked	Immunological	CGD
Chronic infections, due to opsonin defect	Immunological	MBL2
Chronic infections, due to opsonin defect	Immunological	MBL
Chronic infections, due to opsonin defect	Immunological	MBP1
Chudley-Lowry syndrome	multiple	ATRX
Chudley-Lowry syndrome	multiple	XH2
Chudley-Lowry syndrome	multiple	XNP
Chudley-Lowry syndrome	multiple	MRXS3
Chudley-Lowry syndrome	multiple	SHS
Chylomicronemia syndrome, familial	Metabolic	LPL
Chylomicronemia syndrome, familial	Metabolic	LIPD
Chylomicron retention disease	Gastrointestinal	SARA2
Chylomicron retention disease	Gastrointestinal	SAR1B
Chylomicron retention disease	Gastrointestinal	CMRD
Chylomicron retention disease with Marinesco-Sjogren syndrome	Gastrointestinal	SARA2
Chylomicron retention disease with Marinesco-Sjogren syndrome	Gastrointestinal	SAR1B
Chylomicron retention disease with Marinesco-Sjogren syndrome	Gastrointestinal	CMRD
Ciliary dyskinesia, primary, 1	Respiratory	DNAI1
Ciliary dyskinesia, primary, 1	Respiratory	CILD1
Ciliary dyskinesia, primary, 1	Respiratory	ICS
Ciliary dyskinesia, primary, 1	Respiratory	PCD
Ciliary dyskinesia, primary, 3 608644	Respiratory	DNAH5
Ciliary dyskinesia, primary, 3 608644	Respiratory	HL1
Ciliary dyskinesia, primary, 3 608644	Respiratory	PCD
Ciliary dyskinesia, primary, 3 608644	Respiratory	CILD3
CINCA syndrome	multiple	CIAS1
CINCA syndrome	multiple	C1orf7
CINCA syndrome	multiple	FCU
CINCA syndrome	multiple	FCAS
Cirrhosis, cryptogenic	Gastrointestinal	KRT18
Cirrhosis, cryptogenic	Gastrointestinal	KRT8
Cirrhosis, noncryptogenic, susceptibility to	Gastrointestinal	KRT18
Cirrhosis, noncryptogenic, susceptibility to	Gastrointestinal	KRT8
Cirrhosis, North American Indian childhood type	Gastrointestinal	CIRH1A
Cirrhosis, North American Indian childhood type	Gastrointestinal	NAIC
Cirrhosis, North American Indian childhood type	Gastrointestinal	TEX292
Cirrhosis, North American Indian childhood type	Gastrointestinal	KIAA1988
Citrullinemia	Metabolic	ASS
Citrullinemia, adult-onset type II	Metabolic	SLC25A13
Citrullinemia, adult-onset type II	Metabolic	CTLN2
Citrullinemia, type II, neonatal-onset	Metabolic	SLC25A13
Citrullinemia, type II, neonatal-onset	Metabolic	CTLN2
Cleft lip/palate ectodermal dysplasia syndrome	Developmental	HVEC
Cleft lip/palate ectodermal dysplasia syndrome	Developmental	PVRL1
Cleft lip/palate ectodermal dysplasia syndrome	Developmental	PVRR1
Cleft lip/palate ectodermal dysplasia syndrome	Developmental	PRR1
Cleft lip/palate, nonsyndromic	Developmental	MSX1
Cleft lip/palate, nonsyndromic	Developmental	HOX7
Cleft lip/palate, nonsyndromic	Developmental	HYD1
Cleft lip/palate, nonsyndromic	Developmental	OFC5
Cleft palate with ankyloglossia	Developmental	TBX22
Cleft palate with ankyloglossia	Developmental	CPX
Cleidocranial dysplasia	Skeletal	RUNX2
Cleidocranial dysplasia	Skeletal	CBFA1
Cleidocranial dysplasia	Skeletal	PEBP2A1
Cleidocranial dysplasia	Skeletal	AML3
Coats disease	Ophthamological	NDP
Coats disease	Ophthamological	ND
Cockayne syndrome, type A	multiple	ERCC8
Cockayne syndrome, type A	multiple	CKN1
Cockayne syndrome, type A	multiple	CSA
Cockayne syndrome, type B	multiple	ERCC6
Cockayne syndrome, type B	multiple	CKN2
Cockayne syndrome, type B	multiple	COFS
Cockayne syndrome, type B	multiple	CSB
Codeine sensitivity	Metabolic	CYP2D@
Codeine sensitivity	Metabolic	CYP2D
Codeine sensitivity	Metabolic	P450C2D
Coffin-Lowry syndrome	multiple	RPS6KA3
Coffin-Lowry syndrome	multiple	RSK2
Coffin-Lowry syndrome	multiple	MRX19
Cohen syndrome	multiple	COH1
Colchicine resistance	Unclassified	ABCB1
Colchicine resistance	Unclassified	PGY1
Colchicine resistance	Unclassified	MDR1
Cold-induced autoinflammatory syndrome, familial	Immunological	CIAS1
Cold-induced autoinflammatory syndrome, familial	Immunological	C1orf7
Cold-induced autoinflammatory syndrome, familial	Immunological	FCU
Cold-induced autoinflammatory syndrome, familial	Immunological	FCAS
Cold-induced sweating syndrome	multiple	CRLF1
Cold-induced sweating syndrome	multiple	CISS
Coloboma, ocular	Ophthamological	PAX6
Coloboma, ocular	Ophthamological	AN2
Coloboma, ocular	Ophthamological	MGDA
Coloboma, ocular	Ophthamological	SHH
Coloboma, ocular	Ophthamological	HPE3
Coloboma, ocular	Ophthamological	HLP3
Coloboma, ocular	Ophthamological	SMMCI
Colon adenocarcinoma	Cancer	RAD54B
Colon adenocarcinoma	Cancer	RAD54L
Colon adenocarcinoma	Cancer	HR54
Colon adenocarcinoma	Cancer	HRAD54
Colon cancer	Cancer	BCL10
Colon cancer	Cancer	PTPN12
Colon cancer	Cancer	PTPG1
Colon cancer	Cancer	TGFBR2
Colon cancer	Cancer	HNPCC6
Colon cancer, advanced	Cancer	SRC
Colon cancer, advanced	Cancer	ASV
Colon cancer, advanced	Cancer	SRC1
Colon cancer, hereditary nonpolypopsis, type 7	Cancer	MLH3
Colon cancer, hereditary nonpolypopsis, type 7	Cancer	HNPCC7
Colon cancer, somatic	Cancer	PTPRJ
Colon cancer, somatic	Cancer	DEP1
Colonic adenoma recurrence, reduced risk of	Cancer	ODC1
Colonic aganglionosis, total, with small bowel involvement	Gastrointestinal	RET
Colonic aganglionosis, total, with small bowel involvement	Gastrointestinal	MEN2A
Colorblindness, deutan	Ophthamological	OPN1MW
Colorblindness, deutan	Ophthamological	GCP
Colorblindness, deutan	Ophthamological	CBD
Colorblindness, deutan	Ophthamological	CBBM
Colorblindness, protan	Ophthamological	OPN1LW
Colorblindness, protan	Ophthamological	RCP
Colorblindness, protan	Ophthamological	CBP
Colorblindness, protan	Ophthamological	CBBM
Colorblindness, tritan	Ophthamological	OPN1SW
Colorblindness, tritan	Ophthamological	BCP
Colorblindness, tritan	Ophthamological	CBT
Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas	Cancer	MUTYH
Colorectal cancer	Cancer	AXIN2
Colorectal cancer	Cancer	BUB1B
Colorectal cancer	Cancer	BUBR1
Colorectal cancer	Cancer	EP300
Colorectal cancer	Cancer	PDGFRL
Colorectal cancer	Cancer	PDGRL
Colorectal cancer	Cancer	PRLTS
Colorectal cancer	Cancer	PIK3CA
Colorectal cancer	Cancer	TP53
Colorectal cancer	Cancer	P53
Colorectal cancer	Cancer	LFS1
Colorectal cancer	Cancer	APC
Colorectal cancer	Cancer	GS
Colorectal cancer	Cancer	FPC
Colorectal cancer	Cancer	BAX
Colorectal cancer	Cancer	CTNNB1
Colorectal cancer	Cancer	DCC
Colorectal cancer	Cancer	MCC
Colorectal cancer	Cancer	NRAS
Colorectal cancer, hereditary nonpolyposis, type 1	Cancer	MSH2
Colorectal cancer, hereditary nonpolyposis, type 1	Cancer	COCA1
Colorectal cancer, hereditary nonpolyposis, type 1	Cancer	FCC1
Colorectal cancer, hereditary nonpolyposis, type 1	Cancer	HNPCC1
Colorectal cancer, hereditary nonpolyposis, type 2	Cancer	MLH1
Colorectal cancer, hereditary nonpolyposis, type 2	Cancer	COCA2
Colorectal cancer, hereditary nonpolyposis, type 2	Cancer	HNPCC2
Colorectal cancer, hereditary nonpolyposis, type 3	Cancer	PMS1
Colorectal cancer, hereditary nonpolyposis, type 3	Cancer	PMSL1
Colorectal cancer, hereditary nonpolyposis, type 3	Cancer	HNPCC3
Colorectal cancer, hereditary nonpolyposis, type 4	Cancer	PMS2
Colorectal cancer, hereditary nonpolyposis, type 4	Cancer	PMSL2
Colorectal cancer, hereditary nonpolyposis, type 4	Cancer	HNPCC4
Colorectal cancer, hereditary nonpolyposis, type 5	Cancer	MSH6
Colorectal cancer, hereditary nonpolyposis, type 5	Cancer	GTBP
Colorectal cancer, hereditary nonpolyposis, type 5	Cancer	HNPCC5
Colorectal cancer, hereditary nonpolyposis, type 6	Cancer	TGFBR2
Colorectal cancer, hereditary nonpolyposis, type 6	Cancer	HNPCC6
Colorectal cancer, somatic	Cancer	FGFR3
Colorectal cancer, somatic	Cancer	ACH
Colorectal cancer, somatic	Cancer	FLCN
Colorectal cancer, somatic	Cancer	BHD
Colorectal cancer, somatic	Cancer	MLH3
Colorectal cancer, somatic	Cancer	HNPCC7
Colorectal cancer, somatic	Cancer	BRAF
Colorectal cancer, somatic	Cancer	DLC1
Colorectal cancer, sporadic	Cancer	PLA2G2A
Colorectal cancer, sporadic	Cancer	PLA2B
Colorectal cancer, sporadic	Cancer	PLA2L
Colorectal cancer, sporadic	Cancer	MOM1
Colorectal cancer, susceptibility to	Cancer	CCND1
Colorectal cancer, susceptibility to	Cancer	PRAD1
Colorectal cancer, susceptibility to	Cancer	BCL1
Colorectal cancer with chromosomal instability	Cancer	BUB1
Combined C6/C7 deficiency	Immunological	C6
Combined factor V and VIII deficiency	Hematological	LMAN1
Combined factor V and VIII deficiency	Hematological	ERGIC53
Combined factor V and VIII deficiency	Hematological	F5F8D
Combined factor V and VIII deficiency	Hematological	MCFD1
Combined hyperlipemia, familial	Metabolic	LPL
Combined hyperlipemia, familial	Metabolic	LIPD
Combined immunodeficiency, X-linked, moderate	Immunological	IL2RG
Combined immunodeficiency, X-linked, moderate	Immunological	SCIDX1
Combined immunodeficiency, X-linked, moderate	Immunological	SCIDX
Combined immunodeficiency, X-linked, moderate	Immunological	IMD4
Combined oxidative phosphorylation deficiency	multiple	GFM1
Combined oxidative phosphorylation deficiency	multiple	EFG1
Combined oxidative phosphorylation deficiency	multiple	GFM
Combined SAP deficiency	Metabolic	PSAP
Combined SAP deficiency	Metabolic	SAP1
Complex I, mitochondrial respiratory chain, deficiency of	multiple	NDUFS6
Complex V, mitochondrial respiratory chain, deficiency of	multiple	ATPAF2
Complex V, mitochondrial respiratory chain, deficiency of	multiple	ATP12
Cone dystrophy-1	Ophthamological	RPGR
Cone dystrophy-1	Ophthamological	RP3
Cone dystrophy-1	Ophthamological	CRD
Cone dystrophy-1	Ophthamological	RP15
Cone dystrophy-1	Ophthamological	COD1
Cone dystrophy-3	Ophthamological	GUCA1A
Cone dystrophy-3	Ophthamological	GCAP
Cone-rod dystrophy	Ophthamological	RPGR
Cone-rod dystrophy	Ophthamological	RP3
Cone-rod dystrophy	Ophthamological	CRD
Cone-rod dystrophy	Ophthamological	RP15
Cone-rod dystrophy	Ophthamological	COD1
Cone-rod dystrophy 3	Ophthamological	ABCA4
Cone-rod dystrophy 3	Ophthamological	ABCR
Cone-rod dystrophy 3	Ophthamological	STGD1
Cone-rod dystrophy 3	Ophthamological	FFM
Cone-rod dystrophy 3	Ophthamological	RP19
Cone-rod dystrophy	Ophthamological	AIPL1
Cone-rod dystrophy	Ophthamological	LCA4
Cone-rod dystrophy 6	Ophthamological	GUCY2D
Cone-rod dystrophy 6	Ophthamological	GUC2D
Cone-rod dystrophy 6	Ophthamological	LCA1
Cone-rod dystrophy 6	Ophthamological	CORD6
Cone-rod dystrophy 9	Ophthamological	RPGRIP1
Cone-rod dystrophy 9	Ophthamological	LCA6
Cone-rod dystrophy 9	Ophthamological	CORD9
Cone-rod retinal dystrophy-2	Ophthamological	CRX
Cone-rod retinal dystrophy-2	Ophthamological	CORD2
Cone-rod retinal dystrophy-2	Ophthamological	CRD
Congenital bilateral absence of vas deferens	Unclassified	CFTR
Congenital bilateral absence of vas deferens	Unclassified	ABCC7
Congenital bilateral absence of vas deferens	Unclassified	CF
Congenital bilateral absence of vas deferens	Unclassified	MRP7
Congenital cataracts, facial dysmorphism, and neuropathy	Ophthamological	CTDP1
Congenital cataracts, facial dysmorphism, and neuropathy	Ophthamological	FCP1
Congenital cataracts, facial dysmorphism, and neuropathy	Ophthamological	CCFDN
Congenital disorder of glycosylation, type Ic	Metabolic	ALG6
Congenital disorder of glycosylation, type Id	Metabolic	ALG3
Congenital disorder of glycosylation, type Id	Metabolic	NOT56L
Congenital disorder of glycosylation, type Id	Metabolic	CDGS4
Congenital disorder of glycosylation, type Ie	Metabolic	DPM1
Congenital disorder of glycosylation, type Ie	Metabolic	MPDS
Congenital disorder of glycosylation, type Ie	Metabolic	CDGIE
Congenital disorder of glycosylation, type If	Metabolic	MPDU1
Congenital disorder of glycosylation, type If	Metabolic	SL15
Congenital disorder of glycosylation, type If	Metabolic	CDGIF
Congenital disorder of glycosylation, type Ig	Metabolic	ALG12
Congenital disorder of glycosylation, type Ih	Metabolic	ALG8
Congenital disorder of glycosylation, type Ii	Metabolic	ALG2
Congenital disorder of glycosylation, type Ii	Metabolic	CDGII
Congenital disorder of glycosylation, type II	Metabolic	DIBD1
Congenital disorder of glycosylation, type II	Metabolic	ALG9
Congenital disorder of glycosylation, type IIc	Metabolic	SLC35C1
Congenital disorder of glycosylation, type IIc	Metabolic	FUCT1
Congenital disorder of glycosylation, type IId	Metabolic	B4GALT1
Congenital disorder of glycosylation, type IId	Metabolic	GGTB2
Congenital disorder of glycosylation, type IId	Metabolic	GT1
Congenital disorder of glycosylation, type IId	Metabolic	GTB
Congenital disorder of glycosylation, type IIe	Metabolic	COG7
Congenital disorder of glycosylation, type IIe	Metabolic	CDG2E
Congenital disorder of glycosylation, type Ij	Metabolic	DPAGT2
Congenital disorder of glycosylation, type Ij	Metabolic	DGPT
Congenital disorder of glycosylation, type Ik	Metabolic	ALG1
Congenital disorder of glycosylation, type Ik	Metabolic	HMAT1
Congenital disorder of glycosylation, type Ik	Metabolic	HMT1
Congestive heart failure, susceptibility to	Cardiovascular	ADRA2C
Congestive heart failure, susceptibility to	Cardiovascular	ADRA2L2
Congestive heart failure, susceptibility to	Cardiovascular	ADRB1
Congestive heart failure, susceptibility to	Cardiovascular	ADRB1R
Congestive heart failure, susceptibility to	Cardiovascular	RHR
Conjunctivitis, ligneous	Ophthamological	PLG
Conotruncal anomaly face syndrome	Cardiovascular	TBX1
Conotruncal anomaly face syndrome	Cardiovascular	DGS
Conotruncal anomaly face syndrome	Cardiovascular	CTHM
